#rank,UTF8,SJIS,EUCJP
1,E79BA3,B4C6,8AC4
1,E5B091,BEAF,8FAD
1,E381B9,A4D9,82D7
1,E38091,A1DB,817A
1,E38090,A1DA,8179
1,E5AD97,BBFA,8E9A
1,E5BF83,BFB4,9053
1,E5868D,BAC6,8DC4
1,E7B484,CCF3,96F1
1,E6ADA2,BBDF,8E7E
1,E7A7BB,B0DC,88DA
1,E79BB4,C4BE,92BC
1,E6ADBB,BBE0,8E80
1,E4BBAE,B2BE,89BC
1,E59091,B8FE,8CFC
1,E596B6,B1C4,8963
1,E889A6,B4CF,8ACD
1,E4BC9D,C5C1,9360
1,E8AA8D,C7A7,9446
1,E6989F,C0B1,90AF
1,E6A798,CDCD,976C
1,E382BC,A5BC,835B
1,E38287,A4E7,82E5
1,E5AFBA,BBFB,8E9B
1,E58D94,B6A8,8BA6
1,E585B5,CABC,95BA
1,E58FAF,B2C4,89C2
1,E7B480,B5AA,8B49
1,E8BC89,BADC,8DDA
1,E694AF,BBD9,8E78
1,E68A95,C5EA,938A
1,E69E9C,B2CC,89CA
1,E69283,B7E2,8C82
1,E6978F,C2B2,91B0
1,E58D83,C0E9,90E7
1,E4B8A1,CEBE,97BC
1,E5AE98,B4B1,8AAF
1,E889B2,BFA7,9046
1,E79DA3,C6C4,93C2
1,E59089,B5C8,8B67
1,E5BC95,B0FA,88F8
1,E6B19F,B9BE,8D5D
1,E799BD,C7F2,9492
1,E6809D,BBD7,8E76
1,E8A385,C1F5,9195
1,E9858D,C7DB,947A
1,E6A0BC,B3CA,8A69
1,E999B8,CEA6,97A4
1,E4BBB6,B7EF,8C8F
1,E5958F,CCE4,96E2
1,E5B8B8,BEEF,8FED
1,E5859A,C5DE,937D
1,E58D81,BDBD,8F5C
1,E8AABF,C4B4,92B2
1,E38194,A4B4,82B2
1,E69B9C,CDCB,976A
1,E8819E,CAB9,95B7
1,E4BFAE,BDA4,8F43
1,E381B6,A4D6,82D4
1,E889AF,CEC9,97C7
1,E89189,CDD5,9774
1,E6B08F,BBE1,8E81
1,E59084,B3C6,8A65
1,E9A19E,CEE0,97DE
1,E6A78B,B9BD,8D5C
1,E59BB3,BFDE,907D
1,E69699,CEC1,97BF
1,E696BD,BBDC,8E7B
1,E9818E,B2E1,89DF
1,E6B4A5,C4C5,92C3
1,E58588,C0E8,90E6
1,E99D92,C0C4,90C2
1,E78AB6,BEF5,8FF3
1,E5BAA7,BAC2,8DC0
1,E5A3B0,C0BC,90BA
1,E5BDB1,B1C6,8965
1,E6B2B3,B2CF,89CD
1,E89197,C3F8,9298
1,E697A7,B5EC,8B8C
1,E6B8AF,B9C1,8D60
1,E7AEA1,B4C9,8AC7
1,E5BCB7,B6AF,8BAD
1,E5B8AB,BBD5,8E74
1,E591BC,B8C6,8CC4
1,E9998D,B9DF,8D7E
1,E4B997,BEE8,8FE6
1,E8A186,BDB0,8F4F
1,E7B49A,B5E9,8B89
1,E588A4,C8BD,94BB
1,E5BEA9,C9FC,959C
1,E4B887,CBFC,969C
1,E58EBB,B5EE,8B8E
1,E5B7BB,B4AC,8AAA
1,E6A0AA,B3F4,8A94
1,E7A4BA,BCA8,8EA6
1,E5BDBC,C8E0,94DE
1,E381AD,A4CD,82CB
1,E99990,B8C2,8CC0
1,E7A2BA,B3CE,8A6D
1,E58897,CEF3,97F1
1,E69BB4,B9B9,8D58
1,E4B985,B5D7,8B76
1,E38283,A4E3,82E1
1,E6A3AE,BFB9,9058
1,E79D80,C3E5,9285
1,E69DA1,BEF2,8FF0
1,E8A9A6,BBEE,8E8E
1,E8B387,BBF1,8E91
1,E6B2A2,C2F4,91F2
1,E59B9B,BBCD,8E6C
1,E5AEB9,CDC6,9765
1,E8A19B,B1D2,8971
1,E88AB1,B2D6,89D4
1,E68F90,C4F3,92F1
1,E888AA,B9D2,8D71
1,E781AB,B2D0,89CE
1,E585AB,C8AC,94AA
1,E4BD8F,BDBB,8F5A
1,E9A2A8,C9F7,9597
1,E4BC81,B4EB,8AE9
1,E6B59C,C9CD,956C
1,E58887,C0DA,90D8
1,E58FB8,BBCA,8E69
1,E28692,A2AA,81A8
1,E4BC8A,B0CB,88C9
1,E599A8,B4EF,8AED
1,E58A87,B7E0,8C80
1,E28690,A2AB,81A9
1,E98194,C3A3,9242
1,E888B9,C1A5,9144
1,E98080,C2E0,91DE
1,E5A4AB,C9D7,9576
1,E8B5B7,B5AF,8B4E
1,E7B1B3,CAC6,95C4
1,E8BFBD,C4C9,92C7
1,E5BB83,C7D1,9470
1,E6B48B,CDCE,976D
1,E6A8AA,B2A3,89A1
